trip_duration_days,miles_traveled,total_receipts_amount,expected_output,miles_per_day,receipts_per_day,base_per_diem,is_five_day,tier1_miles,tier2_miles,log_miles,log_receipts,length_long,length_medium,length_short
9,397.0,348.49,913.29,44.111111111111114,38.721111111111114,900,0,100.0,297.0,5.986452005284438,5.856474948961234,True,False,False
1,532.0,413.99,355.57,532.0,413.99,100,0,100.0,432.0,6.278521424165844,6.028254423554833,False,False,True
2,384.0,495.49,290.36,192.0,247.745,200,0,100.0,284.0,5.953243334287785,6.207563342295487,False,False,True
5,754.0,489.99,765.13,150.8,97.998,500,1,100.0,654.0,6.626717749249025,6.196423760988341,False,True,False
1,344.46,813.85,707.88,344.46,813.85,100,0,100.0,244.45999999999998,5.844876862265139,6.703004047221998,False,False,True
3,906.3,540.03,848.42,302.09999999999997,180.01,300,0,100.0,806.3,6.810473156175584,6.2934747301740925,False,False,True
3,1007.56,187.52,764.64,335.8533333333333,62.50666666666667,300,0,100.0,907.56,6.916278849923014,5.23920410205553,False,False,True
1,359.62,221.15,255.57,359.62,221.15,100,0,100.0,259.62,5.887824772348222,5.403352829381918,False,False,True
1,362.79,749.19,636.51,362.79,749.19,100,0,100.0,262.79,5.896576778075664,6.620326507780219,False,False,True
1,288.72,159.26,303.94,288.72,159.26,100,0,100.0,188.72000000000003,5.668914939327125,5.076797496349925,False,False,True
2,782.17,830.72,1165.44,391.085,415.36,200,0,100.0,682.17,6.663349786090432,6.723495845717894,False,False,True
2,623.18,347.54,625.15,311.59,173.77,200,0,100.0,523.18,6.436438788310859,5.853753001232496,False,False,True
3,1061.15,388.5,693.36,353.7166666666667,129.5,300,0,100.0,961.1500000000001,6.9680504347658925,5.964863865310803,False,False,True
1,252.75,285.5,331.74,252.75,285.5,100,0,100.0,152.75,5.536349530355997,5.6577385361547945,False,False,True
3,1020.39,250.62,779.08,340.13,83.54,300,0,100.0,920.39,6.928919723681966,5.527920012922985,False,False,True
1,257.97,816.81,738.01,257.97,816.81,100,0,100.0,157.97000000000003,5.5567122248748815,6.706630035784371,False,False,True
3,1025.03,592.55,992.4,341.6766666666667,197.51666666666665,300,0,100.0,925.03,6.933452265069323,6.386121456499543,False,False,True
2,794.32,402.31,671.06,397.16,201.155,200,0,100.0,694.32,6.67874454938988,5.99970549700956,False,False,True
1,276.85,485.54,361.66,276.85,485.54,100,0,100.0,176.85000000000002,5.62708139972593,6.187319118184521,False,False,True
2,851.68,473.96,650.68,425.84,236.98,200,0,100.0,751.68,6.748384330564994,6.16323058996242,False,False,True
3,859.12,611.07,960.47,286.37333333333333,203.69000000000003,300,0,100.0,759.12,6.757071914397188,6.416846655056505,False,False,True
3,1317.07,476.87,787.42,439.0233333333333,158.95666666666668,300,0,100.0,1217.07,7.183923824426025,6.169338728974656,False,False,True
1,388.1,827.37,741.46,388.1,827.37,100,0,100.0,288.1,5.963836379990508,6.719459914476488,False,False,True
1,264.39,758.27,636.19,264.39,758.27,100,0,100.0,164.39,5.581200442213105,6.632357445363575,False,False,True
5,198.21,594.83,807.48,39.642,118.96600000000001,500,1,100.0,98.21000000000001,5.294359544693693,6.38995539147881,False,True,False
6,72.85,457.75,666.59,12.141666666666666,76.29166666666667,600,0,72.85,0.0,4.302036008977389,6.12850539936878,False,True,False
8,297.64,481.09,835.08,37.205,60.13625,800,0,100.0,197.64,5.699238834606328,6.17813081861192,True,False,False
7,237.33,1262.27,1452.17,33.90428571428571,180.3242857142857,700,0,100.0,137.33,5.473656267914107,7.141458876225594,True,False,False
5,195.73,1228.49,511.23,39.146,245.698,500,1,100.0,95.72999999999999,5.281832230288174,7.114354728235615,False,True,False
8,276.28,1179.9,1522.6,34.535,147.4875,800,0,100.0,176.27999999999997,5.625027825967296,7.074032138607236,True,False,False
8,302.24,1046.04,1353.77,37.78,130.755,800,0,100.0,202.24,5.714524571188103,6.953722414534273,True,False,False
8,266.87,252.08,880.41,33.35875,31.51,800,0,100.0,166.87,5.590501788197235,5.533705644278683,True,False,False
9,310.69,239.64,828.16,34.52111111111111,26.626666666666665,900,0,100.0,210.69,5.742009104128395,5.483302040761475,True,False,False
6,222.08,709.07,1031.34,37.013333333333335,118.17833333333334,600,0,100.0,122.08000000000001,5.407530451521353,6.565363556724829,False,True,False
8,264.94,720.67,1019.85,33.1175,90.08375,800,0,100.0,164.94,5.58327071942856,6.581567970695458,True,False,False
8,161.15,1230.37,1499.24,20.14375,153.79625,800,0,100.0,61.150000000000006,5.088521832753327,7.115882649666127,True,False,False
9,259.96,554.74,835.54,28.88444444444444,61.63777777777778,900,0,100.0,159.95999999999998,5.564367138872703,6.320300558980213,True,False,False
9,97.85,518.56,850.57,10.872222222222222,57.617777777777775,900,0,97.85,0.0,4.593603549616626,6.252982299539083,True,False,False
9,194.34,1054.93,1374.9,21.593333333333334,117.21444444444445,900,0,100.0,94.34,5.274741630019331,6.9621771741902805,True,False,False
9,332.35,374.61,830.45,36.92777777777778,41.623333333333335,900,0,100.0,232.35000000000002,5.809192989064069,5.928551371047852,True,False,False
5,126.44,696.14,845.35,25.288,139.228,500,1,100.0,26.439999999999998,4.847645665601793,6.546986251422825,False,True,False
5,66.13,848.03,1050.25,13.225999999999999,169.606,500,1,66.13,0.0,4.20663103795066,6.744094521376103,False,True,False
6,135.34,1144.13,1478.11,22.55666666666667,190.68833333333336,600,0,100.0,35.34,4.915151765934639,7.043273446661393,False,True,False
6,233.7,346.98,648.57,38.949999999999996,57.830000000000005,600,0,100.0,133.7,5.458308102856978,5.85214500685857,False,True,False
9,849.0,1007.41,1785.47,94.33333333333333,111.93444444444444,900,0,100.0,749.0,6.745236349484363,6.916130111964317,True,False,False
6,806.0,1760.64,1718.76,134.33333333333334,293.44,600,0,100.0,706.0,6.693323668269949,7.47400047234096,False,True,False
8,891.0,1194.36,2016.46,111.375,149.295,800,0,100.0,791.0,6.79346613258001,7.086202674227491,True,False,False
9,1182.0,1342.24,2164.15,131.33333333333334,149.13777777777779,900,0,100.0,1082.0,7.075808863978387,7.202839884950659,True,False,False
7,1010.0,1514.03,2063.98,144.28571428571428,216.29,700,0,100.0,910.0,6.918695219020472,7.323190519727611,True,False,False
8,892.0,1768.53,1902.37,111.5,221.06625,800,0,100.0,792.0,6.794586580876499,7.478469253583593,True,False,False
6,825.0,1692.73,1817.77,137.5,282.12166666666667,600,0,100.0,725.0,6.716594773520978,7.434688476440214,False,True,False
8,1118.0,1758.52,1852.47,139.75,219.815,800,0,100.0,1018.0,7.020190708311925,7.4727963235626245,True,False,False
8,1064.0,1756.52,1857.04,133.0,219.565,800,0,100.0,964.0,6.970730078143525,7.471659003420924,True,False,False
6,811.0,1252.04,1771.8,135.16666666666666,208.67333333333332,600,0,100.0,711.0,6.699500340161678,7.133327877770407,False,True,False
7,889.0,1417.96,1826.08,127.0,202.56571428571428,700,0,100.0,789.0,6.7912214627261855,7.257679487897331,True,False,False
9,1012.0,1429.04,1880.76,112.44444444444444,158.78222222222223,900,0,100.0,912.0,6.920671504248683,7.265457694890715,True,False,False
6,909.0,1332.18,1720.21,151.5,222.03,600,0,100.0,809.0,6.813444599510896,7.195322344820911,False,True,False
9,1096.0,1690.22,1894.85,121.77777777777777,187.8022222222222,900,0,100.0,996.0,7.00033446027523,7.43320544096847,True,False,False
9,913.0,1021.29,1964.86,101.44444444444444,113.47666666666666,900,0,100.0,813.0,6.81783057145415,6.929800487850702,True,False,False
6,1006.0,1219.71,1803.97,167.66666666666666,203.285,600,0,100.0,906.0,6.914730892718563,7.1071879356631715,False,True,False
6,907.0,1650.17,1737.86,151.16666666666666,275.02833333333336,600,0,100.0,807.0,6.811244378601294,7.409239406517542,False,True,False
9,816.0,1171.81,1780.58,90.66666666666667,130.20111111111112,900,0,100.0,716.0,6.705639094860003,7.067157857699037,True,False,False
7,1006.0,1181.33,2279.82,143.71428571428572,168.76142857142855,700,0,100.0,906.0,6.914730892718563,7.075242346817636,True,False,False
6,835.0,1404.28,1765.79,139.16666666666666,234.04666666666665,600,0,100.0,735.0,6.728628613084702,7.247991850168807,False,True,False
12,528.0,2476.41,1662.88,44.0,206.36749999999998,1200,0,100.0,428.0,6.270988431858299,7.8149689386018215,True,False,False
4,69.0,2321.49,322.0,17.25,580.3725,400,0,69.0,0.0,4.248495242049359,7.750395164973665,False,True,False
11,1179.0,31.36,1550.55,107.18181818181819,2.850909090909091,1100,0,100.0,1079.0,7.07326971745971,3.4769230921902907,True,False,False
13,756.0,954.4,1793.07,58.15384615384615,73.41538461538461,1300,0,100.0,656.0,6.6293632534374485,6.862130100955861,True,False,False
1,123.0,2076.65,1171.68,123.0,2076.65,100,0,100.0,23.0,4.820281565605037,7.638992726289217,False,False,True
3,1162.0,2152.66,1434.71,387.3333333333333,717.5533333333333,300,0,100.0,1062.0,7.0587581525186645,7.674923999389211,False,False,True
1,822.0,2170.53,1374.91,822.0,2170.53,100,0,100.0,722.0,6.71295620067707,7.683187267214468,False,False,True
11,558.0,1549.86,1823.47,50.72727272727273,140.89636363636362,1100,0,100.0,458.0,6.326149473155099,7.3465648947568845,True,False,False
2,753.0,1111.16,1353.87,376.5,555.58,200,0,100.0,653.0,6.625392368007956,7.014059349352176,False,False,True
10,224.0,407.51,794.7,22.4,40.751,1000,0,100.0,124.0,5.41610040220442,6.012516393804594,True,False,False
6,383.0,462.79,800.3,63.833333333333336,77.13166666666667,600,0,100.0,283.0,5.950642552587727,6.139431863571309,False,True,False
8,1005.0,1391.37,1987.39,125.625,173.92125,800,0,100.0,905.0,6.913737350659685,7.238762610172283,True,False,False
10,1145.0,311.43,1366.61,114.5,31.143,1000,0,100.0,1045.0,7.044032897274685,5.744380444084709,True,False,False
5,1004.0,2367.63,1743.85,200.8,473.526,500,1,100.0,904.0,6.912742820493176,7.770067007916888,False,True,False
5,873.0,1402.35,1676.79,174.6,280.46999999999997,500,1,100.0,773.0,6.773080375655535,7.246617514422353,False,True,False
2,165.0,1813.32,1273.45,82.5,906.66,200,0,100.0,65.0,5.111987788356544,7.503466020850606,False,False,True
5,1076.0,190.33,879.65,215.2,38.066,500,1,100.0,976.0,6.981934677156389,5.253999685896911,False,True,False
12,986.0,2390.92,1760.0,82.16666666666667,199.24333333333334,1200,0,100.0,886.0,6.894670039433482,7.779851669695178,True,False,False
7,948.0,657.17,1578.97,135.42857142857142,93.88142857142857,700,0,100.0,848.0,6.855408798609928,6.4894632566190795,True,False,False
3,429.0,2400.13,1411.95,143.0,800.0433333333334,300,0,100.0,329.0,6.063785208687608,7.7836947388621365,False,False,True
4,362.0,646.43,788.53,90.5,161.6075,400,0,100.0,262.0,5.8944028342648505,6.473010679621482,False,True,False
2,622.0,1871.56,1494.23,311.0,935.78,200,0,100.0,522.0,6.434546518787453,7.535061757601649,False,False,True
1,140.0,255.99,150.34,140.0,255.99,100,0,100.0,40.0,4.948759890378168,5.54903717363235,False,False,True
8,123.0,612.55,851.24,15.375,76.56875,800,0,100.0,23.0,4.820281565605037,6.419261760422557,True,False,False
4,87.0,2463.92,1413.52,21.75,615.98,400,0,87.0,0.0,4.477336814478207,7.8099146315890815,False,True,False
10,164.0,1144.9,1516.43,16.4,114.49000000000001,1000,0,100.0,64.0,5.10594547390058,7.043945633432402,True,False,False
1,989.0,2196.84,1439.17,989.0,2196.84,100,0,100.0,889.0,6.897704943128636,7.6952303388654055,False,False,True
4,470.0,1968.63,1501.1,117.5,492.1575,400,0,100.0,370.0,6.154858094016418,7.585600986833281,False,True,False
1,37.0,1397.17,1092.94,37.0,1397.17,100,0,37.0,0.0,3.6375861597263857,7.2429195176897805,False,False,True
8,488.0,439.7,1030.13,61.0,54.9625,800,0,100.0,388.0,6.192362489474872,6.088364371847941,True,False,False
12,757.0,897.4,1780.07,63.083333333333336,74.78333333333333,1200,0,100.0,657.0,6.630683385642372,6.800615403424233,True,False,False
14,958.0,1727.76,2065.16,68.42857142857143,123.41142857142857,1400,0,100.0,858.0,6.8658910748834385,7.45515966748863,True,False,False
2,456.0,2390.7,1342.39,228.0,1195.35,200,0,100.0,356.0,6.124683390894205,7.779759689144819,False,False,True
5,733.0,41.18,771.83,146.6,8.236,500,1,100.0,633.0,6.598509028614515,3.7419461750506287,False,True,False
5,291.0,1279.7,1477.12,58.2,255.94,500,1,100.0,191.0,5.676753802268282,7.155162082432026,False,True,False
10,478.0,2091.79,1568.41,47.8,209.179,1000,0,100.0,378.0,6.171700597410915,7.646253382964002,True,False,False
8,817.0,1455.73,1847.26,102.125,181.96625,800,0,100.0,717.0,6.706862336602747,7.283949476737243,True,False,False
6,1043.0,1404.35,1807.42,173.83333333333334,234.0583333333333,600,0,100.0,943.0,6.950814768442584,7.248041661065307,False,True,False
2,958.0,1855.58,1549.54,479.0,927.79,200,0,100.0,858.0,6.8658910748834385,7.526491364528191,False,False,True
9,524.0,474.75,935.4,58.22222222222222,52.75,900,0,100.0,424.0,6.263398262591624,6.164892506176259,True,False,False
6,45.0,81.59,522.58,7.5,13.598333333333334,600,0,45.0,0.0,3.828641396489095,4.413888607822626,False,True,False
8,342.0,2259.06,1502.02,42.75,282.3825,800,0,100.0,242.0,5.8377304471659395,7.723146640586488,True,False,False
12,379.0,1897.29,1682.98,31.583333333333332,158.1075,1200,0,100.0,279.0,5.940171252720432,7.548708759911368,True,False,False
6,333.0,1254.68,1585.02,55.5,209.11333333333334,600,0,100.0,233.0,5.811140992976701,7.1354325374968885,False,True,False
2,634.0,1739.81,1490.51,317.0,869.905,200,0,100.0,534.0,6.453624998892692,7.462105801130418,False,False,True
5,285.0,974.73,1282.84,57.0,194.946,500,1,100.0,185.0,5.655991810819852,6.883185908797108,False,True,False
12,33.0,1249.13,1707.38,2.75,104.09416666666668,1200,0,33.0,0.0,3.5263605246161616,7.131002824888721,True,False,False
9,118.0,1285.82,1539.77,13.11111111111111,142.86888888888888,900,0,100.0,18.0,4.77912349311153,7.159929337674925,True,False,False
1,420.0,2273.6,1220.35,420.0,2273.6,100,0,100.0,320.0,6.042632833682381,7.7295594917503445,False,False,True
11,312.0,2072.39,1586.22,28.363636363636363,188.3990909090909,1100,0,100.0,212.0,5.746203190540153,7.636940227881336,True,False,False
10,753.0,2054.02,1779.08,75.3,205.402,1000,0,100.0,653.0,6.625392368007956,7.6280408592430735,True,False,False
5,125.0,96.38,570.99,25.0,19.276,500,1,100.0,25.0,4.836281906951478,4.578620850754555,False,True,False
6,597.0,888.84,1395.65,99.5,148.14000000000001,600,0,100.0,497.0,6.393590753950631,6.791041671283774,False,True,False
12,1065.0,203.2,1408.25,88.75,16.933333333333334,1200,0,100.0,965.0,6.97166860472579,5.319099905730565,True,False,False
1,214.0,540.03,402.81,214.0,540.03,100,0,100.0,114.0,5.3706380281276624,6.2934747301740925,False,False,True
11,886.0,922.66,1852.24,80.54545454545455,83.87818181818182,1100,0,100.0,786.0,6.787844982309579,6.828344038557851,True,False,False
10,621.0,978.73,1656.28,62.1,97.873,1000,0,100.0,521.0,6.432940092739179,6.887277023500627,True,False,False
4,1000.0,2355.34,1699.56,250.0,588.835,400,0,100.0,900.0,6.90875477931522,7.764864846753333,False,True,False
13,534.0,1765.96,1881.36,41.07692307692308,135.84307692307692,1300,0,100.0,434.0,6.282266746896006,7.477015834825213,True,False,False
6,475.0,1800.71,1671.23,79.16666666666667,300.11833333333334,600,0,100.0,375.0,6.16541785423142,7.496491492919844,False,True,False
11,623.0,2265.21,1739.18,56.63636363636363,205.92818181818183,1100,0,100.0,523.0,6.436150368369428,7.725864111609928,True,False,False
1,620.0,973.91,1112.02,620.0,973.91,100,0,100.0,520.0,6.431331081933479,6.882345159044922,False,False,True
13,1004.0,1757.75,1960.67,77.23076923076923,135.21153846153845,1300,0,100.0,904.0,6.912742820493176,7.472358608428599,True,False,False
8,962.0,1929.63,1897.19,120.25,241.20375,800,0,100.0,862.0,6.870053411798126,7.56560165350439,True,False,False
14,516.0,1464.67,1842.1,36.857142857142854,104.61928571428572,1400,0,100.0,416.0,6.248042874508429,7.290067754788031,True,False,False
11,685.0,2272.75,1873.94,62.27272727272727,206.61363636363637,1100,0,100.0,585.0,6.530877627725885,7.729185729832332,True,False,False
3,307.0,266.21,540.97,102.33333333333333,88.73666666666666,300,0,100.0,207.0,5.730099782973574,5.5880348661118875,False,False,True
3,375.0,1346.21,1339.93,125.0,448.7366666666667,300,0,100.0,275.0,5.929589143389895,7.205791066263364,False,False,True
4,1124.0,2177.18,1567.43,281.0,544.295,400,0,100.0,1024.0,7.025538314638521,7.686244944706126,False,True,False
3,779.0,2110.9,1520.73,259.6666666666667,703.6333333333333,300,0,100.0,679.0,6.659293919683638,7.655343295220328,False,False,True
8,1173.0,671.25,1419.34,146.625,83.90625,800,0,100.0,1073.0,7.068172000388042,6.510630295148974,True,False,False
14,47.0,1667.14,1745.18,3.357142857142857,119.08142857142857,1400,0,47.0,0.0,3.871201010907891,7.4194645122502445,True,False,False
3,981.0,2008.83,1539.47,327.0,669.61,300,0,100.0,881.0,6.889591308354466,7.605805420361848,False,False,True
5,516.0,1450.67,1547.5,103.2,290.134,500,1,100.0,416.0,6.248042874508429,7.280469896827109,False,True,False
6,471.0,332.51,872.19,78.5,55.41833333333333,600,0,100.0,371.0,6.156978985585555,5.809672849913634,False,True,False
2,941.0,1565.77,1432.79,470.5,782.885,200,0,100.0,841.0,6.848005274576363,7.356771454301752,False,False,True
